circonscriptionId,delegationId,subDelegationId,centerID,stationId,registeredVoters,aSigningVoters,bDeliveredBallots,cSpoiledBallots,dLeftBallots,eCplusD,fExtractedBallots,gEplusF,hBminusG,iAminusF,jListVotes,kCancelledVotes,lBlankVotes,mJplusKplusL,nFminusM,countingStart,countingEnd,tampon, الإنصاف , التحالف الديمقراطي,الجبهة الشعبية, الجبهة الوطنية التونسية, الحركة الدستورية, الحرية , الحزب الجمهوري , الشعب يريد , العدالة والتنمية, تونس العزيزة , تيار المحبة , حركة التونسي, حركة الديمقراطيين الإشتراكيين ,حركة النهضة, حركة الوحدويين الأحرار ,حركة نداء تونس, حركة وفاء, حزب الأمان , حزب التكتل , حزب المبادرة, حزب المجد , عدالة وسلام,أوفياء,الاتحاد الوطني الحر,التيار الديمقراطي ,الثبات,المؤتمر من أجل الجمهورية,حركة الشعب,حزب البناء الوطني,حزب العمل التونسي ,صوت شعب تونس,observers
27,4,9,65,1,24,14,100,0,86,86,14,100,0,0,14,0,0,14,0,False,1818,,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,4,9,64,1,44,16,100,0,84,84,16,16,84,0,16,0,0,16,0,False,1800,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
27,4,9,63,1,105,70,200,0,130,130,70,200,0,0,66,4,0,70,0,False,18:10,19:35,0,0,0,0,0,0,0,1,0,0,0,0,0,51,0,7,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1, حركة النهضة :1  
27,4,9,62,1,122,75,200,1,124,125,75,200,0,0,71,3,1,75,0,False,18:23,19:08,0,0,0,0,0,0,0,0,0,1,0,0,0,55,0,8,0,1,0,2,0,1,1,1,0,0,0,0,0,0,1, حركة النهضة :2   حركة نداء تونس :2  
27,4,9,61,1,533,253,600,0,347,347,253,600,0,0,230,17,6,253,0,False,18:20,20:18,5,0,1,2,0,2,5,2,1,0,2,1,4,148,3,25,2,2,3,1,1,0,1,8,0,2,5,1,2,0,1, حركة النهضة :2  
27,4,8,60,1,133,71,200,0,129,129,71,200,0,0,62,8,1,71,0,True,18:00,19:00,0,0,0,0,0,1,0,0,0,1,1,0,0,46,0,4,0,0,2,1,0,0,0,3,1,2,0,0,0,0,0, حركة النهضة :2  
27,4,7,59,2,412,208,500,1,291,292,208,500,0,0,202,2,4,208,0,False,,20.10,0,2,0,0,1,0,3,1,0,0,0,4,1,155,0,10,4,0,3,1,0,2,0,4,0,0,5,2,4,0,0,المؤتمر من أجل الجمهورية:1   حركة نداء تونس :1  صوت شعب تونس:1   حركة النهضة :1  
27,4,7,59,1,411,303,500,0,197,197,303,500,0,0,285,7,11,303,0,False,18:20,21:05,1,3,2,1,1,3,9,1,0,1,3,4,2,192,1,20,3,2,2,1,1,5,2,7,2,2,12,0,2,0,0, حركة النهضة :1   العدالة والتنمية:1   الجبهة الشعبية :1  
27,4,7,58,3,418,195,500,0,305,305,195,500,0,0,189,3,3,195,0,False,18:36,19:36,0,0,0,1,0,0,3,0,0,0,0,0,0,147,0,6,4,1,0,1,0,0,0,11,1,1,7,4,1,0,1,الإتحاد الوطني الحر:2   حركة نداء تونس :1   الحركة الدستورية:1   حركة النهضة :1  
27,4,7,58,2,418,254,496,1,241,242,254,496,0,0,250,3,1,254,0,False,18:10,19:30,1,1,0,2,0,1,5,0,0,4,0,0,0,185,0,21,5,1,0,1,0,1,1,5,1,0,10,5,0,0,0,الإتحاد الوطني الحر:1   حركة النهضة :1  
27,4,7,58,1,418,315,500,1,185,186,314,500,0,1,291,5,18,314,0,True,1920,2125,1,2,3,1,1,3,7,1,1,3,1,0,0,217,2,21,1,1,2,2,0,3,0,2,3,3,6,2,2,0,0, حركة النهضة :1   الحركة الدستورية:1   الحزب الجمهوري :1  
27,4,7,57,1,350,228,400,0,172,172,228,400,0,0,215,1,12,228,0,True,1818,1930,0,1,1,0,0,0,3,0,0,3,0,0,1,173,1,6,3,0,2,2,0,1,0,4,2,1,8,1,1,1,0, حركة النهضة :2  
27,4,7,56,1,379,228,401,1,172,173,228,401,0,0,222,6,0,228,0,True,1810,2000,1,0,2,0,3,0,10,0,1,4,2,1,0,173,0,0,3,0,2,1,0,3,0,3,0,0,7,1,0,5,0, حركة النهضة :2   حركة نداء تونس :1  
